Url,Status,Name,Organisation,Address,City,State,Zip Code,Country,E-mails,Domain,Alexa Rank,Registrar
https://www.tutorialpoints.com,Legitimate,TUTORIALPOINTS.COMtutorialpoints.com,Whois protection this company does not own this domain name s.r.o.,J a u r i s o v a   5 1 5 / 4,Praha 4,DOMAIN MAY BE FOR SALE, CHECK AFTERNIC.COM,14000,CZ,abuse@regtons.comprivacyprotect@hebeidomains.comwebproxy@whoisprotection.domains,TUTORIALPOINTS.COMtutorialpoints.com,9542315,GRANSY S.R.O D/B/A SUBREG.CZ
https://www.tutorialpoints.com,Legitimate,TUTORIALPOINTS.COMtutorialpoints.com,Whois protection this company does not own this domain name s.r.o.,J.a.u.r.i.s.o.v.a. .5.1.5./.4,Praha 4,DOMAIN MAY BE FOR SALE, CHECK AFTERNIC.COM,14000,CZ,abuse@regtons.comprivacyprotect@hebeidomains.comwebproxy@whoisprotection.domains,TUTORIALPOINTS.COMtutorialpoints.com,9542315,GRANSY S.R.O D/B/A SUBREG.CZ
https://www.tutorialpoints.com,Legitimate,TUTORIALPOINTS.COMtutorialpoints.com,Whois protection this company does not own this domain name s.r.o.,Jaurisova 515/4,Praha 4,DOMAIN MAY BE FOR SALE, CHECK AFTERNIC.COM,14000,CZ,abuse@regtons.comprivacyprotect@hebeidomains.comwebproxy@whoisprotection.domains,TUTORIALPOINTS.COMtutorialpoints.com,9542315,GRANSY S.R.O D/B/A SUBREG.CZ
https://www.consoleflare.com/course/,Legitimate,CONSOLEFLARE.COMconsoleflare.com,Domains By Proxy LLC,DomainsByProxy.com14455 N. Hayden Road,Scottsdale,Arizona,85260,US,abuse@godaddy.comconsoleflare.com@domainsbyproxy.com,CONSOLEFLARE.COMconsoleflare.com,-1,GoDaddy.com LLC
http://111111111111111111111111111111111111111111111111111111111111.com/,Legitimate,111111111111111111111111111111111111111111111111111111111111.COM,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,NY,REDACTED FOR PRIVACY,US,domainabuse@tucows.comdnsadmin@mediatemple.net,111111111111111111111111111111111111111111111111111111111111.COM,1308713,TUCOWS INC.
https://www.geeksforgeeks.org,Legitimate,GEEKSFORGEEKS.ORG,Privacy Protect LLC (PrivacyProtect.org),None,None,MA,None,US,abuse-contact@publicdomainregistry.com,GEEKSFORGEEKS.ORG,316,PDR Ltd. d/b/a PublicDomainRegistry.com
https://fydo.steaminedik.pro/GQEHU?tag_id=747518&sub_id1=nov_15099585_Windows_10.0_Chrome&sub_id2=410874278257517046&cookie_id=dcbc8830-89eb-4781-bc20-43e15567cf5b&lp=download_screen_arrow&convert=Your%20Video%20Is%20Ready%20To%20Stream&allb=redirect&ob=redirect&href=https%3A%2F%2Fwww.predictionds.com%2Fjump%2Fnext.php%3Fr%3D2160135%26sub1%3D%5BWEBSITEID%5D&hop=5&info=&geo=IN&sub=fydo,Legitimate,STEAMINEDIK.PROsteaminedik.pro,WhoisGuard Inc.,P.O. Box 0823-03411,Panama,Panama,None,PA,abuse@namecheap.come74306e2bf194f65847fbc094b110618.protect@whoisguard.com,STEAMINEDIK.PROsteaminedik.pro,-1,NAMECHEAP INC
https://www.google.com,Legitimate,GOOGLE.COMgoogle.com,Google LLC,None,None,CA,None,US,abusecomplaints@markmonitor.comwhoisrequest@markmonitor.com,GOOGLE.COMgoogle.com,1,MarkMonitor Inc.
https://www.goibibo.com,Legitimate,GOIBIBO.COM,IBIBO GROUP PVT. LTD.,19th Floor, Bldg No5, Tower B, Cyber City,Gurgaon,Haryana,122002,IN,abuse@web.comibibodomains@ibibogroup.com,GOIBIBO.COM,1157,Network Solutions LLC
https://www.freepik.com/free-vector/personal-digital-security_6976373.htm#page=1&query=security&position=10,Legitimate,FREEPIK.COMfreepik.com,GRAPHIC RESOURCES SL,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,MA,REDACTED FOR PRIVACY,ES,abuse@ionos.comdataprivacyprotected@1und1.de,FREEPIK.COMfreepik.com,121,1&1 IONOS SE
https://www.online-convert.com/file-format/crx,Legitimate,ONLINE-CONVERT.COMonline-convert.com,None,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,DE,REDACTED FOR PRIVACY,DE,domain-abuse@psi-usa.info,ONLINE-CONVERT.COMonline-convert.com,872,PSI-USA Inc. dba Domain Robot
https://wallpapersite.com/abstract/,Legitimate,WALLPAPERSITE.COMwallpapersite.com,z,None,None,Quebec,None,CA,abuse@godaddy.com,WALLPAPERSITE.COMwallpapersite.com,48434,GoDaddy.com LLC
https://www.amazon.com,Legitimate,AMAZON.COMamazon.com,Amazon Technologies Inc.,P.O. Box 8102,Reno,NV,89507,US,abusecomplaints@markmonitor.comhostmaster@amazon.comwhoisrequest@markmonitor.com,AMAZON.COMamazon.com,14,MarkMonitor Inc.
https://www.microsoft.com,Legitimate,MICROSOFT.COMmicrosoft.com,Microsoft Corporation,One Microsoft Way,,Redmond,WA,98052,US,abusecomplaints@markmonitor.comdomains@microsoft.commsnhst@microsoft.comwhoisrequest@markmonitor.com,MICROSOFT.COMmicrosoft.com,34,MarkMonitor Inc.
http://www.dhilloncraneservice.com/.well-known/bankofamerica.com/,Malicious,DHILLONCRANESERVICE.COMdhilloncraneservice.com,Dhillon Crane Service,None,None,Punjab,None,IN,abuse@wildwestdomains.com,DHILLONCRANESERVICE.COMdhilloncraneservice.com,-1,Wild West Domains LLC
https://home-paypal-jp.moonkahonda.com/panel_JP/-/jp/xppl/,Malicious,MOONKAHONDA.COM,Anmoul Infomatics Pvt. Ltd.,84, New Baradwari, Sakchi, Jamshedpur,Jamshedpur,Jharkhand,831001,IN,abuse-contact@publicdomainregistry.comanmolsingh@anmoul.com,MOONKAHONDA.COM,6847929,PDR Ltd. d/b/a PublicDomainRegistry.com
http://ord-amazsn.com,Malicious,ORD-AMAZSN.COM,Contact Privacy Inc. Customer 0156643154,96 Mowat Ave,Toronto,ON,M6K 3M1,CA,ord-amazsn.com@contactprivacy.comdomainabuse@tucows.com,ORD-AMAZSN.COM,-1,TUCOWS INC.
